divipola_code,name,place_type,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
5,ANTIOQUIA,dp,
